condition.1	condition.2	rg	rg.SE	partial_rg	partial_rg.SE	rg_cov	diff.T	diff.P
carpal_tunnel	peripheral_arterial	0.2511029682936939	0.05444597980853592	0.22478846065812388	0.057776755765808936	0.0031247787262855325	3.615914032581262	2.9928969548772546e-4
carpal_tunnel	pri_breast	-0.020090629704945625	0.028281774322319316	-0.040693193433062144	0.028951473758415586	8.090545158288027e-4	4.614081518670561	3.9483744527790325e-6
carpal_tunnel	psoriasis	0.1322924690041534	0.033381658494506465	0.12350585489923814	0.03465424462729793	0.0011475281778807983	1.9552167389682262	0.05055749366709046
carpal_tunnel	RA	0.2184157359306516	0.033999613074952105	0.21541380494635187	0.03491875498501614	0.0011781288746604154	0.6880497130497087	0.4914214760805612
carpal_tunnel	sleep_apnoea	0.16841568858004766	0.030606439367888257	0.13978696950976388	0.032393956913650164	9.754514258809585e-4	4.824018288196792	1.4069450854537515e-6
carpal_tunnel	spondylosis	0.5265309616279762	0.03868331915650782	0.5105879837351877	0.039979906042672514	0.001539246592122874	3.9490307073817617	7.846828625042464e-5
carpal_tunnel	thromboembolic	0.017581036988160176	0.03506605028638515	0.0046151519363880405	0.03724377887107205	0.0012949296459559894	2.5014238282109558	0.012369504822822485
carpal_tunnel	urine_incont	0.2328613074805093	0.03990980162169358	0.21083068335866886	0.04083467026808669	0.0016173479581415265	4.35702377044932	1.3184295427366784e-5
carpal_tunnel	valve_nonrheumatic	0.10809068678174703	0.04108846736060211	0.09985775301226442	0.042245320504342716	0.001723675683053319	1.6278795865759215	0.10355042065859761
cholelithiasis	COPD	0.12030503555330287	0.048146087926535616	0.10168288188006987	0.048692131442885755	0.002336475564118216	4.652875577020644	3.2733778103363988e-6
cholelithiasis	coronary_heart	0.18094568645087003	0.02877450498543091	0.166914261468593	0.02835645406287017	8.087664093574536e-4	3.6813047470741984	2.3204345399849077e-4
cholelithiasis	diabetes_type_2	0.21021037003463405	0.035110193970848	0.18898108609589764	0.034559910069347936	0.001198997989095909	3.934242170674182	8.345960329034273e-5
cholelithiasis	enthesopathy_lower	0.21929765047266114	0.06362964976039528	0.20557785759289546	0.06583932572608941	0.004180400557341391	2.876574968692594	0.004020166869323519
cholelithiasis	gout	0.12141066359195699	0.0300788385143317	0.10774649089994494	0.03145004614932882	9.351513533702431e-4	2.81635428217076	0.004857207141930505
cholelithiasis	HF	0.13366234121683582	0.040889058435067197	0.11061458910043928	0.04135813778546884	0.0016734462805563064	3.867263048910191	1.100636861983683e-4
cholelithiasis	hypertension	0.1373690612459685	0.041899462503345385	0.11659722831886861	0.04097816024984162	0.0017064175079182706	4.434665498299306	9.221535690957644e-6
cholelithiasis	hypothyroid	0.12685330246276033	0.03815418077195485	0.12253156064472333	0.04081736065929672	0.001552498752253745	1.0543676342668933	0.2917146344021119
cholelithiasis	IDA	0.08578560480542066	0.07311641470105347	0.06269084682250123	0.07518509449529705	0.005480272847514036	3.7335745381591403	1.8878129046418136e-4
cholelithiasis	OA	0.09128685171929671	0.03480981411742424	0.06582353668534921	0.03394887763119156	0.0011676497559851345	4.732505356433066	2.2176545049394473e-6
cholelithiasis	peripheral_arterial	0.1611651406706569	0.08711199836047206	0.13581458169702254	0.08929780097617677	0.007757233009202613	3.654036199996009	2.581498471211455e-4
cholelithiasis	pri_breast	0.059095148673421936	0.03349992412840424	0.042716745496082384	0.03437033470460019	0.001139810371544631	3.3471291427647527	8.165316130411155e-4
cholelithiasis	psoriasis	0.12668346445446407	0.03554490215955933	0.11890081421134462	0.03654553586511227	0.001289125859547717	1.7079153198804202	0.08765205612746463
cholelithiasis	RA	0.1667265683328218	0.051801115027919196	0.1633541113398144	0.05442302217459684	0.002813700223975375	0.7988910210771433	0.42435360578967185
